word,sense,sentence
开,seperate,冰箱单独空开16安行不行。
开,seperate,题干中的“劈开太行山，漳河穿山来”是一句具有特定历史和文化背景的描述，它指向的是某一具体的水利工程。
开,seperate,劈开砖，也名劈裂砖、劈离砖，是传统陶瓷墙砖的一种，因纹理独特，质感细腻，多年来广受青睐。
开,seperate,25个明亮、大胆的新童话，试图劈开那些“从来如此”的童话和传说，还原女性本来的面目与真实的欲望。
开,seperate,书里的25个故事像25把斧头，劈开了色厉内荏、外强中干的性别枷…。
开,seperate,传统的劈开砖，就是同质砖、面砖、外墙砖…。
开,seperate,林羽原本是一个平凡的上班族，然而一次意外让他获得了劈开山岳的能力，从此…。
开,seperate,然而，劈开砖的质量直接影响到建筑的美观和安全性，因此对其性能的检测显得尤为重要。
开,seperate,劈开砖以其自然的质感，表面…。
开,seperate,公职人员梦见自己肚子被割开，需要受到法律的惩罚，同犯也需要受到应有的制裁。
开,seperate,割开焊缝是一个需要精确操作和技术的过程。
开,seperate,许多人都有一个误解，感觉气管被割开，人就“断气”了。
开,seperate,广东，一位妈妈骑车早上送孩子去上学，不料，熊孩子在后座竟然用小刀悄悄将妈妈的羽绒服隔开，里面…。
开,seperate,作品以自我对话形式展开，源于对成长过程中内心矛盾的审视。
开,seperate,本文详细介绍了PCB开槽处理的目的，以及三种常用的方法：通过机械层绘制并转换为切割槽、利用焊盘进行…。
开,seperate,半年后，即8月21日，邓小平在接受意大利记者法拉奇的采访时，又将这个“四六开”改了，说：“我自己…。
开,seperate,对于毛泽东思想，更不能用“三七开”的定量方式来理解。
开,seperate,2、杨幂的妆容重点在于眼妆，三七开的发型，给人一种洒脱淡定的感觉。
开,seperate,“三七开”、“四六开”、“五五开”等，表示网络学习加分和期末成绩之间不同的比例，…。
开,seperate,三七开身材的人上半身容易积累脂肪，下半身比较瘦弱，身材…。
开,seperate,终于，有网友幸运地晒出了偶遇五五开的照片，引发了网络上新…。
开,seperate,综上所述，“五五开”是一个与卢本伟紧密相关的网络梗，既指代他本人，也用来形容实力相当、胜负难料…。
开,seperate,五五开是否还有挽回的余地。
开,seperate,"2025五五开黑节详细全攻略（4.23-5.8）,蔷薇,王者荣耀,王者福利拉满福利拉满。"
开,seperate,超蓝悟空的龟波克林根本无法阻挡二者为何称为五五开谢邀。
开,seperate,4月28日进行了五五开黑节的第二弹更新，这次更新后有大量皮肤活动将正式开启，下面我们一起来看看吧。
开,seperate,终于，有网友幸运地晒出了偶遇五五开的照片，引发了网络上新一轮的热议。
开,seperate,用小拉钩将切口向两侧对称拉开，一一结扎、切断皮下组织内的较大浅静脉。
开,seperate,•上气道阻塞•上气道阻塞的患者在气管切开导管堵塞或错位时风险极高，这不仅…。
开,seperate,用于较长的皮肤切口和腹直肌前鞘的切开等。
开,seperate,经皮环甲膜切开术后护理可以做胸部X光检查以确认位置。
开,seperate,那苹果切开为什么会变褐色呢。
开,seperate,大度开，就是大于正常纸张的开本。
开,seperate,一种情况是楼上说的，就是互相开票，增加双方的营业额，…。
开,seperate,其实很简单，A-A或B-B线型位置就是产品剖开的位置，箭头所指的方向就是剖开放置图纸的方向。
开,seperate,将火龙果去头尾，然后对半切开，竖着…。
开,seperate,（2017河南）左图是给定的立体图形，将其从任一面剖开，下面哪一项不可能是该立体图形的截面。
开,seperate,该方法操作步骤包括剪开上下腔静脉后，依次剖开右心房、右心室、肺动脉及左心…。
开,seperate,“剖开肚子证明清白”这一典故，通常指的是古代的一种极端而悲剧性的自证方式。
开,seperate,大家都在说丘吉尔的一句话大致意思是：如果有人冤枉你吃了他的东西，不要想着剖开肚皮去自证清白，而是…。
开,seperate,鱼鲞是我国浙江沿海地区传统食品，特指将海鱼剖开后经盐腌、晾晒制成的干制品。
开,seperate,如下图所示，主视图剖开一部分，以表达内部结构；保留局部外形，以表达凸缘形状及其位置。
开,seperate,拆开[chāikāi]⒈把封好的东西打开。
开,seperate,拆开是一个动词，表示把封好的东西打开或拆散分开。
