word,sense,sentence
拿,take,高考这么重要的事情，如果他们还能忘记拿准考证跑错考场，那…。
拿,take,已经毕业，拿到了学位证，但是遗失。
拿,take,人拿手机图片搜索结果搜索结果不满意。
拿,take,"免费下载和使用800,000+个“拿手机”素材图片。"
拿,take,这是很多网友看到快手极速版推出的“完成365天打卡任务白拿好礼”的活动后发出的疑问。
拿,take,1.拿别人手机涉嫌犯罪：若手机是遗失物，捡到者需归还；若手机价值超5千且拒不归还，涉嫌侵占罪。
拿,take,",手拿黑色苹果手机,双手拿着智能手机，处于横向视…。"
拿,take,那么，如何在游戏中拿出手机呢。
拿,take,日前，成都一女子拿着手机骑单车，不慎摔倒后身亡。
拿,take,"摄图网为您提供164个拿手机免抠元素,包含拿手机元素,拿手机免抠素材,拿手机png图片等,欢迎下载。"
拿,take,人拿东西搜索结果...从冰箱里拿东西的阿西亚人-00:071080P企。
拿,take,1、物品性质：若物品为他人所有且未明确表示放弃，未经允许拿走可能违法。
拿,take,按~键，也就是数字1旁边的那个键，调出控制台，输入cm拿东西，输入dm开启上帝模式。
拿,take,若要拿一组物品，可按“Shift+左…。
拿,take,拿相机手握东西茶拿铁拿数据拿武器人物美女拿模特拿包老人吃东…。
拿,take,10.可别乱拿呀，难道你想成为那个让人讨厌的“乱拿大王”吗。
拿,take,院里不让锁门，偷不算偷，叫拿，所以在我们院，…。
拿,take,老师和家长必须要严于律已，不贪占小便宜，不随便拿别人的东西，给孩子做个好榜样。
拿,take,而且有时候有些故事还是想看看的但一拿起来就已读了放包里后来...。
拿,take,手拿包搭配不仅要考虑服装搭配，同时还需要对手抓包的正确拿法进行一定的搭配。
拿,take,然而，市面上的手拿包种类繁…。
拿,take,探索Versace迷你包和手拿包系列，采用最上等皮革制成，搭配金属链肩带和经典装饰。
拿,take,男生帮女生拿包意味着什么。
拿,take,手拿包和其他包款有着不同的设计感…。
拿,take,这是简约复古手拿包晚宴包硬斜挎包跨境欧美风金属色盒子包的详细页面。
拿,take,不过在没有拿到钥匙的时候，可能很多人还都是有些困惑，毕竟第1次买房根本就不知道拿房子钥匙…。
拿,take,房子没拿钥匙可能需交物业费。
拿,take,新房没拿钥匙可能也要交物业费。
拿,take,1、侵犯财产权：根据民法典规定，未经允许擅自拿取并使用他人钥匙可能需赔偿财产损失。
拿,take,这是跨境男士长款手拿钱包大容量通勤简约零钱包学生钱夹卡包热销…。
拿,take,男士钱包/手拿包选购技巧柠檬红茶加点冰。
拿,take,这是真皮女士长款拉链荔枝纹牛皮革日本手拿钱包日式长枥木财布wallet的详细页…。
拿,take,拿笔姿势坐姿问题常见的8大错误握笔方式错误1：横搭型孩子写字缓慢、写字太用力、容易疲倦。
拿,take,手拿笔感觉没力气可能与肌肉疲劳、神经受压、血液循环障碍或基础疾病有关。
拿,take,总之，外国人拿笔的方式受到各种因素的影响，包括文化背景、个人偏好、生理能力和社会规范。
拿,take,记录与记忆：使用笔记录是保留信息的重要方式，因此，梦见拿笔也…。
拿,take,【1】咖啡杯的正确拿法应是拇指和食指捏住杯耳将杯子端起。
拿,take,这句咒语叫：“它们是99.9%的人不用知道的杯子”，拿走不谢~七年前辞去KPMG审计师…。
拿,take,下列哪个选项是“拿杯子往桌上一duo”中“duo”字的正确写法。
拿,take,比如说，对于左撇子，他们在拿杯子时是否和常规方式相同。
拿,take,下面是学习啦小编精心为你整理的茶道拿杯子的手势，一起来看看。
拿,take,而且，左手拿杯子，就可以同时用惯用手去干其它事啊。
拿,take,以上就是喝茶时拿杯子的正确姿势以及喝茶礼仪介绍了，希望大家在以后的喝茶中能注意这些基本礼仪。
拿,take,拿出茶缸，说实话有些尴尬，但店员小哥已经见怪不怪了，完全没有任何异样表情。
