word,sense,sentence
吃,bear,此词本为石匠师傅打石磨时，石胚吃一钎，石胚即长一齿之意。
吃,bear,吃一堑，长一智是一个汉语成语，本为石匠师傅打石磨时，石胚吃一钎，石胚即长一齿之意。
吃,bear,吃一堑，长一智指受一次挫折，得到一次教训，就增长一分才智。
吃,bear,吃一堑：意思是受一次栽…。
吃,bear,成语“吃一堑，长一智”的字面意思是，遭受一次挫折，就获得一次教训，得到一次提高与收获。
吃,bear,解释：本为石匠师傅打石磨时，石胚吃一钎，石胚即长一齿之意。
吃,bear,遗憾的是，今天仍有很多只吃堑不长智的人。
吃,bear,其实这句话很难实现，如果人人都能做到这一点，吃堑即长智，受挫便成长，这世界上就不会有失败者。
吃,bear,百科释义吃一堑长一智，本为石匠师傅打石磨时，石胚吃一钎，石胚即长一齿之意。
吃,bear,后人添加“吃”字以形象化描述挫折经历。
吃,bear,吃一堑：意思是受一次栽倒沟里的教训。
吃,bear,吃⼀堑，长⼀智造句⽰例：1、他离婚是吃⼀堑长⼀智。
吃,bear,堵车迟到，花钱无计划，出门忘带东西，种种犯错，给生活带来有句谚语：“吃一堑长一…。
吃,bear,余生平吃数大堑，而癸丑六月不与焉。
吃,bear,是吃一堑，长一智；堑：壕沟，引申为教训、挫折。
吃,bear,本为石匠师傅打石磨时，石胚吃一钎，石胚即长一齿之意。
吃,bear,”这话听起来颇有些自我安慰的味道，仿佛在说：“哎，我又吃亏了，但没关系，我是在积福呢。
吃,bear,“好汉不吃眼前亏”是汉语常用成语，意指明智之人善于审时度势，暂时避开不利处境以避免受损受辱。
吃,bear,都是吃亏，但这两者是有很大区别的。
吃,bear,占小便宜吃大亏的俗语谚语哲理句子-20.小便宜就像糖衣炮弹，占了就会被大亏击中。
吃,bear,",挫折感,吃亏是福,心理创伤“人早点吃亏比晚吃亏好”这句话，从某些角度来看，是有一定道理的。"
吃,bear,吃小亏占大便宜，常用汉语成语，读音是（chīxiǎokuīzhàndàbiànyí）。
吃,bear,吃过大亏的人，会出现哪些变化。
吃,bear,很多人一旦吃亏了，总是喜欢在别人身上找原因，却很少在自己身上找原因，很少自我反省。
吃,bear,吃亏和占便宜作为构成人生的无数个细微节点的两种不同选择，…。
吃,bear,学会吃亏才不吃亏在当今社会里，只有…。
吃,bear,到现在仍然具有现实意义，吃亏其实是赚到了，吃亏的…。
吃,bear,如果我们吃了十分的苦，就能够获得十分的报酬，那么，我相信什么样的苦，我们都可以吃下去。
吃,bear,42、没有吃苦的经历，就没有享乐的感受。
吃,bear,“能吃苦”不是“找苦吃”，不是故意降低生活标准、制造苦难历练；“能…。
吃,bear,青年“自找苦吃”，就要不断拼搏奋斗。
吃,bear,纠正错误生效裁判还工人清白一张画面模糊的照片，竟让普通工人吃了30万元的赔偿官司。
吃,bear,查看吃官司的近义词和反义词，以及相关示例句子，提升对该成语的理解。
吃,bear,第一百零二回王庆因奸吃官司龚端被打师军犯话说王庆见板凳作怪，用脚去踢那板凳。
吃,bear,14、假使你不爱我了，我就跳到你后面，抓你的皮，扯你的头发，把水淋到你的身上，叫你吃官司。
吃,bear,要不受气，就要做那种打死人也不吃官司的人。
吃,bear,鲁达寻思道：“俺只指望痛打这厮一顿，不想三拳真个打死了他，洒家须吃官司，又没人送饭，不如及早撒开。
吃,bear,九阴真经NPC好感度怎么刷才能不吃闭门羹。
吃,bear,成语“吃闭门羹”竟然是来源于这样一个特殊职业。
吃,bear,我们都知道，拒绝客人进门就是让客人吃闭门羹。
吃,bear,据我分析，吃“闭门羹”的原因不外乎:一、人家与你不熟，羞于开口；二、人家事先无准备，一时不知怎么…。
吃,bear,无预约必吃闭门羹这8家是小红书、微信热门网点，每天内地客户超500人，排队几小时还可能被拒，千万别去。
吃,bear,9、我师傅曾经让我去调停，结果吃了闭门羹，实在是无计可施了。
吃,bear,仅仅因为在中国国防部长董军这里吃到闭门羹，这两天…。
吃,bear,"他们知道奉行蒋先生的命令,往往要吃败仗,但是如不听他的命令,出了乱子,便更不得了。"
吃,bear,从本质上讲，最终是在安逸面前吃了败仗，自己打败了自己。
吃,bear,曹操虽然精通兵法，但是也吃过不少败仗，下面我给大家列举一…。
吃,bear,他们知道奉行蒋先生的命令，往往要吃败仗，但是如不听他的命令，出了乱子，便更不得了。
吃,bear,拳头底下同样难出好兵，只会出逆反、怨恨，最终导致离心离德吃败仗。
吃,bear,输的人要吃剪刀石头布，甜酸甜酸。

