word,sense,sentence
吃,eat,下面一起来看看国内公认十大最好吃的鸡品种。
吃,eat,”、“吃太多会胖，吃太少会饿，怎么才能刚刚好。
吃,eat,日本天皇为了打胜仗，要带头节约，一天只吃两顿饭，节省出一顿饭的开销当作军费，鼓励前方士兵打仗。
吃,eat,今年7月，桂林市纪委监委印发违规吃喝问题专项整治工作任务分工表，明确13项主要任务…。
吃,eat,医生：若想稳定尿酸，3种素食尽量少吃_代谢_饮食_果糖。
吃,eat,可以说有醋可吃糠，无醋肉不香。
吃,eat,吐槽不好吃的，是你没吃对地方，你自己不知道吗。
吃,eat,过年过节，杭州人的家宴是不是一定要吃西湖醋鱼。
吃,eat,网上流传着7种人不能吃醋的新闻，可是仔细看来，却又不是没有道理。
吃,eat,其食用方法遵循“早吃姜，补药汤”的传统理…。
吃,eat,泛指人每天定时分次吃的食物：早～。
吃,eat,要想让“改变进餐顺序”变得有意义，也要吃够量才行。
吃,eat,吃饭是人摄入负熵维持耗散体系的主要方式。
吃,eat,?在日常交流中，你是否曾注意到那微妙的差异——“吃过”、“吃了”和“吃完”。
吃,eat,吃饭的节奏过快和过慢都是不好的，吃饭的节奏通常是一口饭嚼20次。
吃,eat,吃饭是人摄入负熵维持耗散体系的主要方…。
吃,eat,（2）先吃的蔬菜，应该是少油少盐烹调的蔬菜。
吃,eat,每天不吃主食只吃菜的人最后怎样了。
吃,eat,同时，如果坚持半年时间只吃菜不吃米…。
吃,eat,虽然绝大多数的剩菜都能放心吃，但如果有剩菜吃不完，一定要及时放冰箱保存。
吃,eat,“吃碳水会胖，吃米饭升血糖。
吃,eat,63个“控糖食谱”免费送，天天吃不重样审稿：杨力南方医科大学珠江…。
吃,eat,既然主食吃太多或太少，都会影响健康，那要吃多少才好。
吃,eat,夏季吃瓜，比如冬瓜、南瓜、黄瓜、丝瓜、佛手瓜等，这些瓜类在…。
吃,eat,今天分享10道孩子爱吃的家常菜青椒火腿炒蛋食材:青椒，火…。
吃,eat,",蔬菜,水果,粗粮,绿叶菜,全谷物,膳食纤维有许多人不喜欢吃蔬菜，而是喜欢吃肉。"
吃,eat,“今天的鸡块拌饭特别入味，辣子炒肉、鱼香肉丝也都很好吃，辣子鸡更是我的最爱。
吃,eat,但不可不吃东西饿肚子，至少吃点助消化的主食，如面条，以7分饱为…。
吃,eat,或者问：餐前吃和就餐时吃有啥区别吗。
吃,eat,在运动量不变的前提下，每天多吃一口饭，或半个饺子，或一小把坚果，一年体重可增加3…。
吃,eat,所以，吃完放纵餐之后，你感觉到的「胖了」其实是「肿了」：身体肿胀，感觉自…。
吃,eat,每次只要选择一种喜欢的高热量食物来吃，而非暴饮暴食。
吃,eat,吃减脂餐还没瘦，到底是哪里出了问题。
吃,eat,而他们所吃的点心，其实也就是在为后来的一日三餐做铺垫。
吃,eat,另外，不要在很饿或者节食几餐专等欺骗餐大吃，很容易过量哦。
吃,eat,餐前适量吃点垫垫肚子(餐前负荷)，提前动员与控制血糖有关的胃肠激素和胰岛素，有利于餐后血糖控制。
吃,eat,肉类作为优质蛋白的重要来源，如果不吃或者吃不够，直接影响蛋…。
吃,eat,只要还有人有社会，就会有吃肉还是吃素的争议。
吃,eat,然而，最近几年，不少人谈肉色变，年轻点的担心肉吃多了长胖变丑，年纪大一点的担心吃肉会导致三高…。
吃,eat,-“只吃肉不吃主食”的减肥方法存在一定的风险。
吃,eat,"别晚于这个月，注意遵循3个原则，避开5个坑,宝宝,辅食,肉类,婴儿,吃肉,骨头汤。"
吃,eat,为啥和尚能吃肉不能吃荤呢。
吃,eat,要知道吃人这事可不止发生在影视剧里2012年，日本艺术家杉山真央就将自己的性…。
吃,eat,我们饲养的家猫也算是捕食者，猫会抓老鼠吃。
吃,eat,不吃肉，蛋白质会摄入不足，且因为肉类对血糖影响较小，是糖尿病…。
吃,eat,辛苦一天后没有什么能比大口吃肉更治愈人心所有工作的压力好像都能在一顿肉里得到释。
吃,eat,然而，最近几年，不少人谈肉色变，年轻点的担心肉吃多了长胖变丑...。
吃,eat,如果健康人一次吃肉过多，可能会增加胃肠道、胆囊、胰腺、肝脏、肾…。
吃,eat,关于饮酒、吃肉、五辛（五种吃后易造成口腔异味的辛辣食物）的禁忌，佛典中究竟…。
吃,eat,吃的越多，胆固醇摄入的也…。
吃,eat,当时，医生告诉他可以适当吃…。
吃,eat,首先在物品栏中选中要吃的食物，人物会把食物顶在头顶上。
吃,eat,不过你需要自己去找寻道具，那么任务饿了吃什么呢。
吃,eat,就是白天饿都没事，但是晚上就特别想吃。
吃,eat,”“明明食量不小，为什么吃了几口就觉得饱了。
吃,eat,吧唧嘴又作“巴唧嘴”、“吧嗒嘴”，指吃东西时嘴发出声。
吃,eat,",上瘾,潜意识,心理问题吃东西总是剩一口。"
吃,eat,"7k7k吃东西小游戏大全收录国内外吃东西类小游戏,包括吃东西闯关小游戏,吃东西冒险小游戏等。"
吃,eat,不要吃得太饱睡眠只需要很少的能量，吃得过饱再睡觉很有可能造成人体把额…。
吃,eat,其中，患者最为关心的问题之一便是拔牙后多久能够正常吃东西。
吃,eat,明明不饿却一直想吃东西，该怎么控制。
吃,eat,决定吃什么不难，大不了抛硬币；难的是如何既能吃饱又能吃好。
吃,eat,——哪些食物能补钾，补钾应该怎么吃。
吃,eat,多吃富含维生素C的食物很多人将补充维生素C作为防治普通感冒的常规做法。
吃,eat,但若频繁大量吃消旋山莨菪碱片，通常会诱发阿托品样中毒症状，影响机体健康。
吃,eat,世间人对于享福，吃喝玩乐，总认为吃得越好，浪费得越多才显得自己有钱。
吃,eat,解答专家：王琦，中央党校（国家行政学院）党的建设教研部副教授违规吃喝有哪些表现形…。
吃,eat,类似吃芥末的惩罚方案-类似吃芥末的惩罚方案可以连续喝三杯可乐或者XX（带气的饮料）。
吃,eat,吃得完有奖励，吃不完有惩罚。
吃,eat,吃柠檬片纯吃柠檬片，真的是个不小的挑战了，估计能捕捉到不少表情包。
吃,eat,挑战靠偷吃吃一天，偷到什么吃什么，发现就要受惩罚。
吃,eat,成人是否需要吃打虫药，需根据实际感染情况而定，不可盲目服用。
吃,eat,现在的育儿指南明确建议：没有感染证据，不用预防性吃打虫药。
吃,eat,记吃不记打是东北的一个方言，“记吃不记打”的字面意思实际上是指某个人只记得吃，却不记得因为…。
吃,eat,好像别人能吃上肉，全都是他的功劳。
