word,sense,sentence
吃,feel,比如说你和你女朋友逛街时，你看见一个漂亮的女孩，瞄了两眼，这时你女朋友的表情就是吃醋。
吃,feel,吃瘪的意思：1.受窘；受挫：当众吃瘪。
吃,feel,词语解释吃瘪[chībiě]⒈方言。
吃,feel,比如在某个制度或规定下，因为不符合要求而无法实现自己的想法或行动，这也可以被形容为“吃瘪”。
吃,feel,3、如今竟在一个马贼出身的幸臣面前屡屡吃瘪，叫他如何能受得了。
吃,feel,（感谢老哥斧正按假面骑士剧情的基础模版，每一代作品至少会出现一名“吃瘪王”。
吃,feel,"基本释义[chībiě]""吃瘪""是一个口语词，表示遭受挫折、失败或不利的事。"
吃,feel,在咸宁方言中，“吃瘪”是形容一个人被迫屈服、认输的窘态；而在宁波方言和上海话里，“吃…。
吃,feel,形容吃瘪的成语-形容吃瘪的成语有：1.灰头土脸：形容因失败或受挫而情绪低落、神情沮丧的样子。
吃,feel,假面骑士中那些变身后光速吃瘪(20秒内)的骑士_哔哩哔哩_bilibili。
吃,feel,库里+巴特勒轰48分，替补全民皆兵，三首发却吃瘪。
吃,feel,然而无敌的佐菲可以说是无瘪不吃，像希波利特星人，…。
吃,feel,共6*产6*党的政策变不变，那个吃得准。
吃,feel,广大党员干部要坚持对标对表，学深悟透党的创新理论，在吃准吃透中央经济工作…。
吃,feel,吃就是吃透图纸，拿就是拿出依据，卡就是卡住规范，要就是要有效果。
吃,suffer,在这种吃力的接待气氛中感到很不舒服。
吃,feel,形容人惊讶的句子他猛然站起来，吃惊地瞪大眼睛，张口结舌说不出话来。
吃,feel,“大吃一惊”字的解释，成语解释，国语辞典，网络解释大吃一惊【解释】形容对发生的事感到十分意外。
吃,feel,例句有七岁的孩子就写出这样好的诗，真令人吃惊[1]。
吃,feel,主持人：你被他的重拳打中了吧，在第二个回合你看起来好像挨了重重一拳，你对此感到吃惊吗。
吃,feel,他们许多人像其他美国人一样，对一夫多妻教派中的乱伦现象和孩子被虐待感到吃惊。
吃,feel,2、德拉克鲁瓦：庸人没有回答不了的问题，也没有吃惊的时刻。
吃,feel,指受到意外的恩遇而顿觉吃惊不安。
吃,feel,例句：Iwassurprisedatyourtone.我对你的腔调吃惊不小。
吃,feel,那么你知道吃惊用英语怎么说吗?下面来学习一下吧。
吃,feel,如果你偶然闯入闲鱼兴趣圈，可能就会为谷子、棉花娃娃等在闲鱼的热度感到吃惊。
吃,feel,巴菲特读书之多，我读书之多，可能会让你感到吃惊。
吃,feel,宋江听罢，吃了一惊，肚里寻思道：“晁盖是我心腹弟兄。
吃,feel,3.我看到他的新发型时吃惊得合不拢嘴。
吃,feel,“吃惊”是指由于某种突如其来的情况或信息，让人感到意外、诧异，从而产生的情绪反应。
吃,feel,蒋门神虽然长大，近因酒色所迷，淘虚了身子，先自吃了那一惊。
吃,feel,她说的话让我大吃了一惊。
吃,feel,”雷横吃了一惊，回过头来，见是刘唐拈着朴刀赶来。
吃,feel,老妇人吃惊地望着箭也似地…。
吃,feel,江宁吃醋地看着他，娇嗔地说
吃,feel,他吃了这一吓，自是大病一场。
吃,feel,走在夜路上，任何一点动静都会让那女孩吃一惊
吃,feel,红玉暗自想：不就是吃了一吓吗，有什么大不了的
吃,feel,“喂吃醋啦你”，他半开玩笑地说
吃,feel,早知道这样我怎会让他吃瘪
