word,sense,sentence
拿,control,经过代理机构申报专利的前提下，专利授权后，中介机构11--15天拿到…。
拿,control,"手拿把攥，汉语俗语，北京地方俗语中的常用表达，其核心语义为""比喻对某事的处理很有把握""。"
拿,control,相近表达：与之意思相近的成语有“十拿九稳”“稳操胜…。
拿,control,拿到香港身份不难，但拿到香港护照，时间跨度是比较久的。
拿,control,以下我说拿的，是可以正常购买或者拾取的，说偷的，则表示需要潜行或者遮掩视线偷的。
拿,control,对于内地人来说，拿到一个香港身份的好处是非常多的，比如在子女教育方面，不仅可以享受…。
拿,control,已经毕业，拿到了学位证，但是遗失。
拿,control,十拿九稳成语解释十拿九稳【解释】比喻很有把握。
拿,control,例句有“对他来说，这是个十拿九稳的事。
拿,control,成语例子：他的学习成绩非常好，考大学应当是十拿九稳的事。
拿,control,做事十拿九稳，差一步是什么。
拿,control,例:有他出面幫忙，這事已十拿九穩。
拿,control,"对于叔叔回国这桩十拿九稳的事,大家还拟定了上千种计划,甚至计划到要用这位叔叔的钱置一所别墅。"
拿,control,如：「男子汉要拿得起放得下，不要患得患失。
拿,control,如：「凡事都要拿得起放得下，患得患失的哪能成事。
拿,control,"当机立断拿不起放不下拿得起:想做什么事情,就敢于去做!放得下:做一件事时,知道变通,该放…。"
拿,control,拿得起：想做什么事情，就敢于去做。
拿,control,在我们的生命中，有许多值得我们“拿起来”的，比如：尊严，爱情，勇敢。
拿,control,拿得起放得下其实是一种心态。
拿,control,2、人生本就是一场闹剧接着一场闹剧，人总得学会拿得起也放得下，才算活得明白。
拿,control,拿得起，就要抗得住，放得下就需看得开，这，既是能力，也是智慧，谁不愿，谁不想。
拿,control,拿得起是生存，放得下是生活；拿得起是能力，放得下是智慧。
拿,control,放得下，即是解脱；拿得起，即是慈悲。
拿,control,既能拿得起，又能放得下，你的人生才会更加的精彩。
拿,control,事实上，放不下往往是自己跟自己较真2、怎样做到真正意义上的“拿得起，放得…。
拿,control,"人生的智慧，往往藏在最简单的道理里——""拿得起，放得下""。"
拿,control,并非所有女性生来就能做到“拿得起，放得下”，很多人都是历经种种挫折后才懂得人生的真谛。
拿,control,拿得起放得下，汉语成语，意思为拿得起放得下是指在对待两难的问题上，做决定敢做敢当，当机立断[1]。
拿,control,"当机立断拿不起放不下拿得起:想做什么事情,就敢于去做!放得下:做…。"
拿,control,拿主意-由你来决定一个想法。
拿,control,拿主意的意思：意思是对一件事情作出决断。
拿,control,自己拿主意作文1今天，妈妈问我想吃苹果还是吃香蕉，我拿不定主意，于是妈妈说：“那我看着买吧。
拿,control,在请领导拿主意时，要把握时机、明确表述、尊重领导、避免争执、充分准备。
拿,control,"大量翻译例句关于""拿主意""–中英词典以及8百万条英语译文例句搜索。"
拿,control,该词表示立定的心意、办法，既可指确定的意见或办法（如“拿主意”），也可指用意或筹划…。
拿,control,他因为没本事，在公司只能处处被人拿捏。
拿,control,木易知道自己这回是彻底拿住了她。
拿,control,要想不被人拿捏，就不能性格太好，要敢于翻脸。
拿,control,江宁觉得自己像一只被他拿捏在手的小鼠，逃不掉也走不开。
拿,control,凭这么点手段就想拿住我，没那么容易！
