word,sense,sentence
走,social_contact,无论是习俗的变化还是礼物的演进，走亲戚的文化内涵依然深植于每一个中国人的心中，寄托…。
走,social_contact,春节过后，也正式进入了互相走亲访友的日子了。
走,social_contact,"不出正月都是年,平日里走动少的老亲戚、老相识…。"
走,social_contact,春节走亲戚、回娘家，是中国人祖祖辈辈传承下来的习俗。
走,social_contact,这期间，几乎家家户户不是忙着走亲戚，便是忙着招待来客。
走,social_contact,2、初一、十五，不走亲戚。
走,social_contact,所以，面对势利眼的亲戚，减少走动才是明智之举。
走,social_contact,而在年轻一代、部分中年一代看来，走亲访友，貌似没有什…。
走,social_contact,走亲戚的次序已然变成了某种纯时间性质的前后，而其生产则是人际之间...。
走,social_contact,春节走亲戚的顺序如下：1、大年初一：晚辈向长辈拜年。
走,social_contact,",雪琴,走亲戚,老祖宗,太势利,回家过年文/飞鱼过年走亲戚，都是很常见的事情，也是传统。"
走,social_contact,但至于为什么要去走亲戚，以及走亲戚有哪些寓意，可能大家就不是特别了解了。
走,social_contact,3、大年初三之后才开始走其他的一些亲戚初三以后，大家普遍开始走亲戚，所以这时候去走亲戚一定要注…。
走,social_contact,经历了几年的封禁后，这个可以随意走动的春节，意义非同凡响。
走,social_contact,走亲戚曾经是农村一项重要的民俗活动，但现在却逐渐被人们忽视。
走,social_contact,走亲戚，是中华民族的传统民俗，也是中国人联络情感…。
走,social_contact,"一个“走”字,描画出“走亲戚”的旧有意味；一个“回”字,把不同时代闺女与娘家的新型关系点到妙处。"
走,social_contact,",过年,拜年,酒席,年货,走亲戚今年春节走亲戚的人要少一半。"
走,social_contact,内行：以前走的是亲情，现在完全不一样了。
走,social_contact,以下是关于结婚第一年走亲戚的规矩和礼物的详细说明：一、结婚…。
走,social_contact,走亲戚是中国传统春节民俗，指农历新年期间亲属间礼节性拜访活动，具有维系亲情的社会功能。
走,social_contact,无论是习俗的变化还是礼物的演进，走亲戚的文化内涵依然深植于每一个中国人的心中，寄托着对家人和亲友…。
走,social_contact,"不出正月都是年,平日里走动少的老亲戚、老相识都可借过年之…。"
走,social_contact,在不同的地区，走亲戚有着各自独…。
走,social_contact,而如今，“过年走亲戚”的习俗似乎正在逐渐被年轻一代...。
走,social_contact,通过亲戚间的来往探望，有越走越亲的意味。
走,social_contact,2017-01-2817:42大过年的，大家都走亲戚，但是大家一定要知道，过年走亲戚的“六大禁忌”。
走,social_contact,就是过年过节回家，不再走亲戚了，甚至是屏蔽了一…。
走,social_contact,走亲戚，更是这个春节必不可少的一环。
走,social_contact,如：「我们会同代表一起走访李老先生。
走,social_contact,词典解释前往访问或拜访：张老师经常走访学生的家长｜他们四处走访，了解民情。
走,social_contact,各级党组织和广大党员干部要必须“执心而行”，在走、访、慰、问...。
走,social_contact,三个关键词教你如何正确走访。
走,social_contact,此次走访任务分小组实施，每组派5人实施，先行访问200名…。
走,social_contact,走街串巷的意思、解释和含义:走大街串小巷，指走遍居民聚集地的各个角落。
走,social_contact,相关例句有“卖油的小贩走街串巷地做生意。
走,social_contact,那么今天我就来和大家聊聊关于走后门的那些注意事项~…。
走,social_contact,在欧美，竟然有超过1.3亿人已经体验过走后门的滋…。
走,social_contact,所以呢，女生如果不想自己的后门经常被男生走的话，最好的办法，就是当男生第一次提出要走后门…。
走,social_contact,2、在特定情境如征兵中走后门明确违法。
走,social_contact,今儿想问大家一个大胆的问题：你们有过“走后门”的经历吗。
走,social_contact,任何“托关系、走后门”的行为无效且违法。
走,social_contact,二、走关系进事业编制属于违法行为，将受到严厉处分甚至…。
走,social_contact,二、走关系若涉及行贿等违法行为则犯法。
走,social_contact,",2019年9月13日看到有人在我的一篇文章中留下评论：“保研就是走关系”。"
走,social_contact,如果我成绩不够好，我爸可能也会走关系，给我弄一个自主加分名额吧，只是我可以自豪的说我不需要。
