word,sense,sentence
走,walk,不一会，它又出现在阳台外面，沿着阑干慢慢走过…。
走,walk,「世界是一座桥，走过去，不要在上面盖房子」的英文原文是什么。
走,walk,对某种事物迷恋到失去理智的地步掩鼻而过：捂着鼻子走过去。
走,walk,建议你在那扎营等白令海峡结冰走过去，5、60迈。
走,walk,我走在我自己的人生路上，哪怕路途的风雨再大，大到我步履维艰。
走,walk,6、梦见走到路的尽头，或是路被挡住…。
走,walk,盲人走在盲道上有绝对的路权，也不可有任何障碍物阻挡盲道。
走,walk,每分钟走50米，距离学校还有：…。
走,walk,他等啊等，一直不见公共汽车的影子，元元决定走到学校去。
走,walk,过去我们就是鉴于他们的经验教训，少走了一些弯路…。
走,walk,2、人生没有不可逾越的天堑，只要一步步走过去，前方就是幸福的彼岸。
走,walk,不一会，它又出现在阳台外面，沿着阑干慢慢走过…。
走,walk,「世界是一座桥，走过去，不要在上面盖房子」的英文原文是什么。
走,walk,对某种事物迷恋到失去理智的地步掩鼻而过：捂着鼻子走过去。
走,walk,我走在我自己的人生路上，哪怕路途的风雨再大，大到我步履维艰。
走,walk,【例文展示】修远路漫漫，求索在脚下鲁迅先生说：“世界上本没有路，走的人多了，…。
走,walk,（2）向右转走：在行进中，预令从右脚开始，动令落在右脚。
走,walk,很多朋友走位比较固定思路，习惯性走上走下，但是很多时候多一次变向走上走下再走上可能会好很多。
走,walk,其实，换个视角思考，走路者和路存在着相互影响的关系。
走,walk,但是，怎样才能正确地进行快走。
走,walk,走地鸡是在自然环境中散养的鸡类品种，主要生长于草地、树林或山坡等开阔空间。
走,walk,"""风走""是现代汉语中的动词词组，读音为fēngzǒu，其核心释义为""如风似地疾趋；快走""。"
走,walk,Hewalkeduptothestagetoreceivehisaward.他走上舞台接受奖项。
走,walk,下面分别解析这句话的两部分：长长的路慢慢的走含义：人生之路漫长而充满未知，如…。
走,walk,f二、课文分析•“慢慢走，欣赏啊。
走,walk,必应词典为您提供走过去的释义，网络释义：goover;walkover;comeover；。
走,walk,“步行去”很多情况下可以和“走路去”互换，几乎没有区别。
走,walk,走过去，虽然不易，因为任何事情的发生必然有其原因有结果也有收获，走过去，虽…。
走,walk,二、意思：趟水：从浅水里走过去。
走,walk,2、人生没有不可逾越的天堑，只要一步步走过去，前方就是幸福的彼岸。
走,walk,"其一是源于余华文学作品中""爱情的脚步在屋前走过去又走过来""的唯美表达，被用作…。"
走,walk,走过只表示在你眼睛看着的前面过去，不一定是对着你的方向。
走,walk,“我在情感上的愚钝就像是门窗紧闭的屋子，虽然爱情的脚步在屋前走过去又走过来，我也听到了，可是…。
走,walk,他如果看到你走过来了，却没有要迎接的意思，那你就停下来，没有回应就停止行动。
走,walk,），编号为11的人走过来，把是…。
走,walk,母亲拦住我：“那条路走不得。
走,walk,”走自己的路，是对党领导人民百年奋斗历史经…。
走,walk,我攥紧书包带子，独自走在回家的小路上。
走,walk,’人生没有白走的路，每一步都算数。
走,walk,有人说：可能是一本旅行册，我走过的路，我都记得。
走,walk,那一次走夜路的结尾作文-篇七那一次走夜路结束了，但它给我带来的影响却一直都在。
